"gr_id","flag_id","fleet_id","yy","mm","mondate","dup_pac","ocean_id","vessel","alb_c","bet_c","skj_c","yft_c","pbf_c","oth_c","bum_c","blm_c","mls_c","swo_c","sfa_c","fal_c","ocs_c","mak_c","bsh_c","thr_c","por_c","ham_c","rhn_c","skj_lo","yft_lo","bet_lo","skj_hi","yft_hi","bet_hi","skj_un","yft_un","bet_un"
"L","JP","DW",1958,1,1958-01-01,FALSE,"WX",1549,29549,43653,0,39689,0,0,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","KR","  ",1958,1,1958-01-01,FALSE,"WX",2,146,18,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","TW","OD",1958,1,1958-01-01,FALSE,"WX",0,27,1604,0,3370,0,0,887,1869,543,367,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1958,1,1958-01-01,FALSE,"WX",44,7,719,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1958,1,1958-01-01,FALSE,"WX",0,0,0,4859,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1958,1,1958-01-01,FALSE,"WX",0,124,0,4184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1958,1,1958-01-01,FALSE,"WX",0,0,0,4187,2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1958,1,1958-01-01,FALSE,"WX",5013,22175,4200,131441,2934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S","JP","CS",1958,1,1958-01-01,FALSE,"WX",0,8,48,10698,3338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10698,3338,48,10698,3338,48
"L","JP","CS",1959,1,1959-01-01,FALSE,"WX",541,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1959,1,1959-01-01,FALSE,"WX",1641,26174,39169,0,40665,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","KR","  ",1959,1,1959-01-01,FALSE,"WX",4,456,24,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","TW","OD",1959,1,1959-01-01,FALSE,"WX",0,38,1278,0,2731,0,0,781,1244,391,427,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1959,1,1959-01-01,FALSE,"WX",41,5,596,33,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1959,1,1959-01-01,FALSE,"WX",0,0,0,5243,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1959,1,1959-01-01,FALSE,"WX",0,67,0,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1959,1,1959-01-01,FALSE,"WX",0,0,0,4408,2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1959,1,1959-01-01,FALSE,"WX",3780,14252,1700,145447,4119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
